YEAR,DISTRICT,AREA,YIELD,PS,TS,QV2M,WS2M,T2M_MAX,T2M_MIN,ALLSKY_KT,CLOUD_AMT,PRECTOTCORR,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_PAR_TOT,Nitrogen(N),Phosphorous(P),Potassium(K),Soil Type,Soil Depth
2009,Sagar,308.5,914.0,95.57,26.38,10.49,2.14,45.1,7.49,0.56,42.88,2.66,1.08,0.03,18.75,8.45,High,Medium,High,Black,100-300
2010,Sagar,303.6,1338.0,95.56,26.21,10.98,2.03,46.15,5.44,0.57,46.88,2.73,1.09,0.03,18.78,8.51,High,Medium,High,Black,100-300
2011,Sagar,273.0,994.0,95.54,25.28,10.97,2.04,45.45,2.34,0.55,42.99,4.41,1.05,0.03,18.19,8.24,High,Medium,High,Black,100-300
2012,Sagar,335.22,1308.0,95.53,25.44,10.16,2.26,45.89,4.2,0.55,46.26,2.8,1.05,0.03,18.22,8.22,High,Medium,High,Black,100-300
2013,Sagar,351.74,426.0,95.55,24.92,11.46,2.18,46.4,3.13,0.52,48.81,4.59,1.01,0.03,17.42,7.89,High,Medium,High,Black,100-300
2014,Sagar,149.0,1262.0,95.65,25.58,10.82,2.26,47.21,3.44,0.56,46.74,2.79,1.07,0.03,18.49,8.37,High,Medium,High,Black,100-300
2015,Sagar,314.0,783.0,95.71,25.4,11.06,2.14,46.06,4.19,0.54,47.2,3.13,1.03,0.03,17.93,8.1,High,Medium,High,Black,100-300
2016,Sagar,290.0,534.0,95.61,25.78,10.74,2.09,46.54,4.29,0.54,47.85,3.92,1.03,0.03,18.02,8.12,High,Medium,High,Black,100-300
2017,Sagar,216.2,588.0,95.6,26.49,10.18,2.16,45.68,4.01,0.55,45.57,2.15,1.05,0.03,18.34,8.26,High,Medium,High,Black,100-300
2001,Damoh,50.0,782.0,96.25,25.49,10.55,2.06,46.37,5.88,0.56,47.73,3.2,1.08,0.03,18.48,8.4,Medium ,Low,High,Black,100-300
2002,Damoh,26.4,462.0,96.27,26.4,9.97,2.22,46.94,5.87,0.56,44.36,2.68,1.08,0.03,18.68,8.47,Medium ,Low,High,Black,100-300
2003,Damoh,32.3,1015.0,96.31,25.62,11.0,2.11,47.1,4.95,0.55,48.43,3.84,1.06,0.03,18.19,8.27,Medium ,Low,High,Black,100-300
2004,Damoh,44.88,952.0,96.3,25.72,10.73,2.05,46.14,4.96,0.57,43.18,2.79,1.1,0.03,18.94,8.58,Medium ,Low,High,Black,100-300
2005,Damoh,45.3,1031.0,96.29,25.49,10.57,2.1,45.55,6.49,0.56,46.17,3.86,1.08,0.03,18.69,8.44,Medium ,Low,High,Black,100-300
2006,Damoh,54.56,836.0,96.28,26.25,10.96,2.06,45.61,7.18,0.55,47.13,2.98,1.07,0.03,18.31,8.33,Medium ,Low,High,Black,100-300
2007,Damoh,108.7,573.0,96.27,25.74,10.63,2.02,45.59,7.23,0.56,45.13,2.69,1.08,0.03,18.66,8.44,Medium ,Low,High,Black,100-300
2008,Damoh,93.0,1176.0,96.26,25.47,10.89,1.96,44.14,4.31,0.56,46.29,2.98,1.06,0.03,18.48,8.35,Medium ,Low,High,Black,100-300
2009,Damoh,91.0,1119.0,96.27,26.56,10.62,2.05,45.27,7.16,0.57,43.44,2.88,1.09,0.03,18.9,8.53,Medium ,Low,High,Black,100-300
2010,Damoh,62.1,1383.0,96.26,26.43,11.13,1.94,46.43,5.51,0.57,47.54,3.13,1.09,0.03,18.81,8.53,Medium ,Low,High,Black,100-300
2011,Damoh,73.0,1240.0,96.24,25.44,11.17,1.93,45.48,2.38,0.55,44.54,4.1,1.06,0.03,18.33,8.32,Medium ,Low,High,Black,100-300
2012,Damoh,102.71,1265.0,96.23,25.58,10.43,2.13,46.68,4.43,0.55,46.65,3.11,1.05,0.03,18.26,8.25,Medium ,Low,High,Black,100-300
2013,Damoh,128.58,504.0,96.25,25.08,11.72,2.06,46.94,3.6,0.53,49.45,4.83,1.02,0.03,17.52,7.93,Medium ,Low,High,Black,100-300
2014,Damoh,98.0,1184.0,96.34,25.69,11.08,2.11,47.7,3.56,0.56,47.0,2.76,1.07,0.03,18.53,8.4,Medium ,Low,High,Black,100-300
2015,Damoh,103.0,1311.0,96.41,25.58,11.34,2.01,45.77,3.97,0.55,47.9,2.89,1.04,0.03,18.16,8.21,Medium ,Low,High,Black,100-300
